tourney_id,tourney_name,tourney_level,tourney_date,winner_id,winner_name,round
1978-W-SL-AUS-01A-1978,Australian Open,G,19781225,200256,Chris Oneil,F
1978-W-SL-FRA-01A-1978,Roland Garros,G,19780529,200337,Virginia Ruzici,F
1978-W-SL-USA-01A-1978,US Open,G,19780828,200259,Chris Evert,F
1978-W-SL-GBR-01A-1978,Wimbledon,G,19780626,200293,Martina Navratilova,F
1979-W-SL-FRA-01A-1979,Roland Garros,G,19790528,200259,Chris Evert,F
1979-W-SL-GBR-01A-1979,Wimbledon,G,19790625,200293,Martina Navratilova,F
1979-W-SL-USA-01A-1979,US Open,G,19790828,200397,Tracy Austin,F
1979-W-SL-AUS-01A-1979,Australian Open,G,19791224,200344,Barbara Jordan,F
1980-W-SL-AUS-01A-1980,Australian Open,G,19801124,200348,Hana Mandlikova,F
1980-W-SL-FRA-01A-1980,Roland Garros,G,19800526,200259,Chris Evert,F
1980-W-SL-GBR-01A-1980,Wimbledon,G,19800623,200150,Evonne Cawley,F
1980-W-SL-USA-01A-1980,US Open,G,19800826,200259,Chris Evert,F
1981-W-SL-AUS-01A-1981,Australian Open,G,19811130,200293,Martina Navratilova,F
1981-W-SL-FRA-01A-1981,Roland Garros,G,19810525,200348,Hana Mandlikova,F
1981-W-SL-GBR-01A-1981,Wimbledon,G,19810622,200259,Chris Evert,F
1981-W-SL-USA-01A-1981,US Open,G,19810901,200397,Tracy Austin,F
1982-W-SL-AUS-01A-1982,Australian Open,G,19821129,200259,Chris Evert,F
1982-W-SL-FRA-01A-1982,Roland Garros,G,19820524,200293,Martina Navratilova,F
1982-W-SL-GBR-01A-1982,Wimbledon,G,19820621,200293,Martina Navratilova,F
1982-W-SL-USA-01A-1982,US Open,G,19820831,200259,Chris Evert,F
1983-W-SL-AUS-01A-1983,Australian Open,G,19831129,200293,Martina Navratilova,F
1983-W-SL-FRA-01A-1983,Roland Garros,G,19830523,200259,Chris Evert,F
1983-W-SL-GBR-01A-1983,Wimbledon,G,19830620,200293,Martina Navratilova,F
1983-W-SL-USA-01A-1983,US Open,G,19830830,200293,Martina Navratilova,F
1984-W-SL-AUS-01A-1984,Australian Open,G,19841126,200259,Chris Evert,F
1984-W-SL-FRA-01A-1984,Roland Garros,G,19840528,200293,Martina Navratilova,F
1984-W-SL-GBR-01A-1984,Wimbledon,G,19840625,200293,Martina Navratilova,F
1984-W-SL-USA-01A-1984,US Open,G,19840828,200293,Martina Navratilova,F
1985-W-SL-AUS-01A-1985,Australian Open,G,19851125,200293,Martina Navratilova,F
1985-W-SL-FRA-01A-1985,Roland Garros,G,19850527,200259,Chris Evert,F
1985-W-SL-GBR-01A-1985,Wimbledon,G,19850624,200293,Martina Navratilova,F
1985-W-SL-USA-01A-1985,US Open,G,19850827,200348,Hana Mandlikova,F
1986-W-SL-FRA-01A-1986,Roland Garros,G,19860526,200259,Chris Evert,F
1986-W-SL-GBR-01A-1986,Wimbledon,G,19860623,200293,Martina Navratilova,F
1986-W-SL-USA-01A-1986,US Open,G,19860826,200293,Martina Navratilova,F
1987-W-SL-AUS-01A-1987,Australian Open,G,19870112,200348,Hana Mandlikova,F
1987-W-SL-FRA-01A-1987,Roland Garros,G,19870525,200414,Steffi Graf,F
1987-W-SL-GBR-01A-1987,Wimbledon,G,19870622,200293,Martina Navratilova,F
1987-W-SL-USA-01A-1987,US Open,G,19870901,200293,Martina Navratilova,F
1988-W-SL-AUS-01A-1988,Australian Open,G,19880111,200414,Steffi Graf,F
1988-W-SL-FRA-01A-1988,French Open,G,19880523,200414,Steffi Graf,F
1988-W-SL-GBR-01A-1988,Wimbledon,G,19880620,200414,Steffi Graf,F
